datetime,Ten_Meter_Elevation_Wind_Speed_meterPerSecond,Air_Temperature_celsius,Relative_Humidity_percent,Shortwave_Radiation_Downwelling_wattPerMeterSquared,Surface_Level_Barometric_Pressure_pascal,Precipitation_meterPerSecond
2017-04-30 0:00,2.12365067,11.9753125,60.709375,83.01258333,96851.02042,0.00E+00
2017-05-01 0:00,2.123356957,14.57197917,87.3375,107.3931354,95877.79698,0.00E+00
2017-05-02 0:00,3.258718192,14.47333333,65.59791667,157.6186667,95149.34865,5.56E-08
2017-05-03 0:00,3.558046503,9.564125,53.71979167,227.1529792,96132.42448,0.00E+00
2017-05-04 0:00,2.106326079,8.268197917,54.925,166.9663854,96822.16542,0.00E+00
2017-05-05 0:00,2.731053757,8.942979167,98.40520833,37.3678125,95392.17167,1.97E-07
2017-05-06 0:00,2.677197359,12.45975,87.759375,96.81802083,94223.19521,4.17E-08
2017-05-07 0:00,2.167269717,5.28953125,90.43958333,126.0175521,95037.62063,3.01E-08
2017-05-08 0:00,2.565561384,5.524625,65.09895833,214.9679688,95767.57823,3.47E-09
2017-05-09 0:00,1.781341518,6.766645833,57.546875,274.1856042,96090.71323,0.00E+00
2017-05-10 0:00,1.858768415,8.419895833,58.3375,292.2817917,96292.92281,0
2017-05-11 0:00,1.027777158,8.465385417,66.04583333,195.7731979,96217.57552,0.00E+00
2017-05-12 0:00,1.553686384,10.9180625,63.91354167,264.3626042,96274.47448,0.00E+00
2017-05-13 0:00,1.583915923,7.482802083,97.06875,51.512125,95869.54896,3.22E-07
2017-05-14 0:00,2.348926897,8.852489583,85.371875,189.7814167,95306.69115,1.16E-08
2017-05-15 0:00,4.673125558,10.89184375,67.92708333,269.0364271,95678.30354,0.00E+00
2017-05-16 0:00,1.763348958,14.58885417,59.1375,272.9970104,96356.18417,0.00E+00
2017-05-17 0:00,1.703027716,21.69354167,56.79479167,327.6123854,96254.50042,0.00E+00
2017-05-18 0:00,2.304998884,25.18645833,55.16979167,328.9888438,96111.09146,0.00E+00
2017-05-19 0:00,2.890813802,22.50125,58.57083333,292.5486667,96187.61521,0.00E+00
2017-05-20 0:00,1.881151414,13.081875,58.3,190.5151042,97115.4125,0.00E+00
2017-05-21 0:00,2.323727493,13.35427083,59.03645833,242.1327292,97213.41604,0.00E+00
2017-05-22 0:00,1.767524554,12.17458333,82.86875,62.13364583,96488.94615,0.00E+00
2017-05-23 0:00,0.818552083,13.37052083,70.90520833,153.9139792,96072.24365,0.00E+00
2017-05-24 0:00,1.663678943,14.35197917,72.334375,234.5506979,95551.14896,0.00E+00
2017-05-25 0:00,2.878230655,12.16833333,95.21770833,55.99754167,95067.18469,1.24E-07
2017-05-26 0:00,2.513516741,14.53322917,83.46145833,166.9072604,95169.24906,1.16E-08
2017-05-27 0:00,1.624129092,15.3975,78.153125,161.1504063,95975.63813,0.00E+00
2017-05-28 0:00,1.58218285,16.94208333,75.98958333,194.9725,96032.68458,0.00E+00
2017-05-29 0:00,1.919185082,12.01666667,95.1625,47.08434375,96122.43271,2.59E-07
2017-05-30 0:00,1.883266927,12.21197917,97.67604167,68.27020833,96595.8574,2.31E-09
2017-05-31 0:00,1.688053757,17.03666667,74.390625,314.8922396,96310.10615,3.13E-08
2017-06-01 0:00,2.012933656,15.7896875,66.36666667,295.5535521,96178.81063,1.16E-09
2017-06-02 0:00,2.450653646,13.83365625,58.83645833,327.39525,96234.95396,0.00E+00
2017-06-03 0:00,2.71103404,13.03879167,61.02916667,319.7710313,96292.7875,5.79E-09
2017-06-04 0:00,1.06146317,11.79355208,86.37604167,88.4266875,96188.93635,8.45E-08
2017-06-05 0:00,1.22784933,17.49822917,89.81145833,184.245375,95483.15917,7.64E-08
2017-06-06 0:00,2.289308594,11.6271875,94.9375,139.4031146,95566.04375,2.07E-07
2017-06-07 0:00,1.734326823,12.2070625,75.07083333,259.4900521,96294.56844,1.16E-09
2017-06-08 0:00,1.422203869,14.38986458,68.865625,297.1451042,96236.73052,0.00E+00
2017-06-09 0:00,2.085198661,16.2109375,62.17708333,325.9947813,95689.22219,0.00E+00
2017-06-10 0:00,2.008824405,19.60864583,66.38020833,286.8552813,96298.10344,1.04E-08
2017-06-11 0:00,1.962418155,23.57479167,60.17083333,349.9403333,96584.90896,0.00E+00
2017-06-12 0:00,1.680983631,23.81885417,61.95,343.5258542,96516.77021,0
2017-06-13 0:00,1.649157552,23.9534375,70.95520833,292.7778229,96268.6925,1.39E-08
2017-06-14 0:00,1.467277344,21.0903125,67.19895833,322.0362813,96410.34885,0
2017-06-15 0:00,1.740010789,18.63166667,70.29375,164.1064271,96401.38615,0
2017-06-16 0:00,1.542301339,16.53041667,85.828125,67.96605208,96231.06167,4.75E-08
2017-06-17 0:00,1.406564546,20.04291667,92.140625,156.6985208,96145.42167,2.31E-09
2017-06-18 0:00,2.422926897,23.91302083,80.759375,261.2422813,95872.07344,1.04E-08
2017-06-19 0:00,1.569820126,21.6403125,90.8625,145.3164063,95813.01083,1.67E-07
2017-06-20 0:00,2.402987723,19.94260417,68.64583333,315.5088438,96106.94063,0.00E+00
2017-06-21 0:00,1.536484561,18.88802083,67.609375,245.4031979,96211.50688,5.79E-09
2017-06-22 0:00,1.558977679,20.26510417,70.74270833,338.1679896,96334.43135,0.00E+00
2017-06-23 0:00,1.860783668,22.75604167,81.69270833,156.1264688,95610.6475,9.95E-08
2017-06-24 0:00,2.390481585,21.4065625,72.98333333,331.0632813,95594.34042,4.28E-08
2017-06-25 0:00,2.013054315,18.56760417,70.41354167,307.2952708,96312.5426,2.31E-09
2017-06-26 0:00,1.88287686,16.7221875,64.31354167,303.8610729,96405.91542,3.47E-09
2017-06-27 0:00,1.713983073,15.1475,75.47604167,233.9756667,96325.96688,1.16E-09
2017-06-28 0:00,2.032844866,16.5609375,64.86979167,339.7266875,96689.53073,0
2017-06-29 0:00,2.054895833,20.97875,60.24270833,262.08275,96625.27333,0
2017-06-30 0:00,2.116710565,22.96385417,76.353125,217.6659271,96300.6525,2.36E-07
2017-07-01 0:00,1.620944925,21.98726316,87.39473684,137.0474792,96129.76505,9.14E-08
2017-07-02 0:00,1.704379464,22.42604167,73.409375,328.6781354,96351.47729,0
2017-07-03 0:00,1.719903274,20.994375,69.28854167,312.1804896,96443.73083,0.00E+00
2017-07-04 0:00,1.198491257,20.1721875,66.75833333,336.5727292,96722.20052,0.00E+00
2017-07-05 0:00,1.419570499,20.0425,69.92291667,293.9842396,97016.79156,0.00E+00
2017-07-06 0:00,1.79536756,20.20510417,73.27916667,209.6772813,96711.1374,0.00E+00
2017-07-07 0:00,1.356356213,19.74041667,91.60208333,187.6328021,95865.45885,2.14E-07
2017-07-08 0:00,1.900777716,19.68572917,86.94166667,268.4690729,95736.33979,5.44E-08
2017-07-09 0:00,1.53577381,18.22427083,70.834375,331.0239479,96434.9101,1.16E-09
2017-07-10 0:00,1.547004092,20.4440625,66.26145833,256.8994792,96504.97771,0.00E+00
2017-07-11 0:00,0.928724144,20.229375,91.43229167,112.2734167,96301.14938,1.09E-07
2017-07-12 0:00,1.201181176,22.12895833,92.46770833,149.3970938,96433.19594,6.48E-08
2017-07-13 0:00,1.314772507,22.71333333,87.12395833,134.2313542,96476.10031,1.04E-08
2017-07-14 0:00,1.423831659,20.16708333,98.796875,89.14566667,96474.65135,2.19E-07
2017-07-15 0:00,2.086721726,20.09958333,83.01770833,258.8119583,96291.70948,3.47E-09
2017-07-16 0:00,1.150838914,20.290625,78.31979167,288.8749583,96358.4701,0.00E+00
2017-07-17 0:00,1.389843936,21.216875,85.11979167,202.2178854,96534.5075,1.50E-08
2017-07-18 0:00,1.225191592,23.26020833,84.24270833,258.3659479,96684.79948,1.16E-09
2017-07-19 0:00,1.687640625,24.19697917,76.36145833,323.9754583,96606.1201,0.00E+00
2017-07-20 0:00,1.546298735,22.82760417,85.69479167,245.7664896,96390.19719,8.22E-08
2017-07-21 0:00,1.603202009,23.1821875,83.04375,288.9618646,96223.83583,0.00E+00
2017-07-22 0:00,1.011055804,22.24270833,81.3,198.256375,96045.86656,3.47E-09
2017-07-23 0:00,1.641699777,21.31291667,85.03333333,149.9977813,95817.63469,0.00E+00
2017-07-24 0:00,2.104673549,17.82104167,96.75520833,126.0383854,95880.63479,6.17E-07
2017-07-25 0:00,1.480627418,16.81677083,96.84479167,100.7143646,96661.51135,3.36E-08
2017-07-26 0:00,1.368536458,17.6271875,87.009375,176.0725104,97049.12406,6.94E-09
2017-07-27 0:00,1.442879464,20.0134375,88.32291667,141.17475,96374.25156,1.16E-09
2017-07-28 0:00,1.362346726,20.44458333,82.74583333,203.6882813,96008.93906,1.16E-09
2017-07-29 0:00,2.635422433,18.34114583,64.10729167,310.2981771,96003.35281,0.00E+00
2017-07-30 0:00,1.805097284,17.67041667,68.190625,334.6547917,96519.01302,0.00E+00
2017-07-31 0:00,1.455474516,19.95333333,71.48020833,313.7506042,96708.72917,0.00E+00
2017-08-01 0:00,1.050578571,20.73694737,81.07368421,279.4509063,96659.61074,0.00E+00
2017-08-02 0:00,1.068611793,19.30458333,91.06770833,152.9576563,96682.37823,4.17E-08
2017-08-03 0:00,1.113271577,21.00666667,80.334375,259.1072188,96749.98479,0.00E+00
2017-08-04 0:00,1.839260603,22.03041667,82.59270833,233.5645729,96400.14354,2.31E-09
2017-08-05 0:00,2.286630952,18.58458333,77.103125,229.9142188,96131.27031,8.56E-08
2017-08-06 0:00,1.796864583,16.7015625,68.91458333,269.7854271,96663.2901,0.00E+00
2017-08-07 0:00,1.237012463,15.56041667,99.9125,32.42602083,96516.37396,7.87E-08
2017-08-08 0:00,1.847456845,17.95166667,81.984375,237.3968958,96373.6624,5.79E-09
2017-08-09 0:00,1.244898996,18.28041667,77.29270833,293.1322083,97040.80479,0.00E+00
2017-08-10 0:00,0.97285119,19.26916667,75.22083333,247.8921042,97137.14063,0.00E+00
2017-08-11 0:00,1.11534561,18.9815625,89.428125,133.4888021,96756.70823,1.74E-07
2017-08-12 0:00,1.458092634,20.79229167,87.72083333,224.2141146,96155.48906,1.17E-07
2017-08-13 0:00,1.541454799,19.18010417,81.81666667,216.8836354,96324.36969,0.00E+00
2017-08-14 0:00,0.812529762,17.91145833,85.63333333,145.080375,96503.41323,0.00E+00
2017-08-15 0:00,1.110794643,19.95135417,87.67291667,146.7084479,96176.8475,1.85E-08
2017-08-16 0:00,1.640765811,19.96625,81.48958333,259.1660208,96422.22521,1.16E-09
2017-08-17 0:00,1.31028776,19.88052083,80.51666667,265.0114479,96498.93177,0.00E+00
2017-08-18 0:00,1.576285528,22.38770833,98.80625,107.0505833,95919.33396,1.97E-07
2017-08-19 0:00,1.467486607,21.57427083,82.29375,254.1978438,95995.81094,5.67E-08
2017-08-20 0:00,2.004017485,19.04291667,82.61041667,287.3703958,96644.03219,0.00E+00
2017-08-21 0:00,1.309078125,21.6084375,81.19583333,223.2490313,96951.04021,0.00E+00
2017-08-22 0:00,2.097249442,23.69083333,83.90833333,248.5039063,96198.46083,1.27E-07
2017-08-23 0:00,2.11078404,18.8715625,75.93333333,265.6704375,95915.3851,1.39E-08
2017-08-24 0:00,1.557946987,15.98375,77.08229167,265.0376563,96278.29875,0
2017-08-25 0:00,1.909520833,15.30979167,78.834375,257.8550208,96787.07479,0
2017-08-26 0:00,1.185995164,14.0305625,79.05729167,261.7969583,97235.44135,0
2017-08-27 0:00,1.15908631,14.52591667,77.3875,277.9373958,97249.60219,0.00E+00
2017-08-28 0:00,1.398359933,14.5309375,79.85833333,197.5658333,97280.25229,0.00E+00
2017-08-29 0:00,1.498526228,13.28989583,98.396875,32.78590625,96958.51083,8.10E-09
2017-08-30 0:00,1.550335751,15.7534375,83.503125,222.8443542,96344.53594,0.00E+00
2017-08-31 0:00,2.210262835,15.91114583,82.06041667,168.7814583,96276.27615,0
2017-09-01 0:00,2.478526316,11.60405263,65.65157895,257.5282396,96786.66284,0
2017-09-02 0:00,1.489495536,10.05903125,87.42395833,125.9413646,96931.15146,6.25E-08
2017-09-03 0:00,1.558504092,13.0596875,101.0270833,80.58095833,96140.92115,1.75E-07
2017-09-04 0:00,2.36378497,17.72697917,77.71458333,257.8406563,96077.31073,0.00E+00
2017-09-05 0:00,1.815643601,20.10041667,81.70833333,115.9032188,95702.09271,8.80E-08
2017-09-06 0:00,1.06287407,14.1209375,102.3739583,29.11891667,96030.41406,2.75E-07
2017-09-07 0:00,1.797773438,13.5990625,85.12916667,178.4029792,96026.66083,1.16E-09
2017-09-08 0:00,1.74027567,12.14802083,83.61770833,156.1615313,96686.20698,1.16E-09
2017-09-09 0:00,2.212232329,10.91708333,86.33958333,150.3227292,97290.24844,1.16E-09
2017-09-10 0:00,1.69713058,12.64894792,77.634375,256.3306875,97590.38333,0
2017-09-11 0:00,0.729433594,13.40535417,80.04270833,247.5445,97295.48448,0
2017-09-12 0:00,0.785339286,15.52895833,83.55208333,212.3259063,96508.18073,0
2017-09-13 0:00,0.841220424,16.4721875,94.1625,135.1735833,96101.18615,1.16E-08
2017-09-14 0:00,0.978916667,18.44083333,96.30416667,113.5941146,96039.61219,6.94E-09
2017-09-15 0:00,1.087011161,19.2015625,91.23125,163.5681771,96588.35385,0.00E+00
2017-09-16 0:00,0.757950707,19.655625,88.83125,198.9355625,96912.58135,0.00E+00
2017-09-17 0:00,0.809508929,19.38385417,92.059375,197.0891563,96881.97021,2.31E-09
2017-09-18 0:00,1.268870536,18.61447917,89.428125,191.6206771,96777.11406,1.16E-09
2017-09-19 0:00,1.842136719,19.71885417,84.01979167,176.4669375,96495.43896,0.00E+00
2017-09-20 0:00,1.94558724,20.06354167,77.003125,216.4061771,96282.96313,0.00E+00
2017-09-21 0:00,1.152992188,20.06677083,80.078125,218.4722396,96564.24021,0.00E+00
2017-09-22 0:00,1.538570499,18.88572917,69.33333333,241.8421042,96587.08198,0.00E+00
2017-09-23 0:00,1.325489955,19.31072917,69.471875,235.1380625,96667.46479,0.00E+00
2017-09-24 0:00,0.895415365,21.52760417,81.24166667,221.4309375,96748.15333,0
2017-09-25 0:00,0.780853237,22.39739583,81.88958333,222.3905104,96654.38823,0
2017-09-26 0:00,0.770459449,22.05447917,83.82916667,205.1517604,96519.76406,0.00E+00
2017-09-27 0:00,0.798723586,20.84354167,82.44895833,211.0175729,96119.51771,1.16E-09
2017-09-28 0:00,3.715304501,15.74291667,69.45520833,211.5515729,96019.86792,0.00E+00
2017-09-29 0:00,1.46980692,10.60241667,80.3625,155.8987813,96381.50677,8.10E-09
2017-09-30 0:00,2.521573103,9.504791667,91.80104167,55.40365625,96836.73802,4.63E-09
2017-10-01 0:00,1.181895301,8.749989474,79.14631579,226.8474896,97448.82589,1.16E-09
2017-10-02 0:00,0.854775484,10.38052083,73.4625,229.4881146,97625.68375,0.00E+00
2017-10-03 0:00,1.333375186,11.7219375,79.23020833,215.4533646,98118.26229,0.00E+00
2017-10-04 0:00,1.655274926,16.43114583,75.73854167,213.452875,97445.20594,0.00E+00
2017-10-05 0:00,1.823408668,19.57885417,69.06041667,135.0432188,96743.43625,0.00E+00
2017-10-06 0:00,1.181684524,17.39489583,86.00520833,159.9020104,96689.28646,0.00E+00
2017-10-07 0:00,1.61271596,19.29520833,82.57708333,119.9902396,96575.92427,0.00E+00
2017-10-08 0:00,2.083823661,21.5125,90.184375,80.64108333,96175.90021,1.09E-07
2017-10-09 0:00,2.20912872,20.87635417,101.1333333,63.04814583,96061.59406,2.70E-07
2017-10-10 0:00,1.379834635,18.07458333,86.35833333,156.3660833,96671.3926,0.00E+00
